query;date;url;sentiment;type;discussion length;views;author;followers;influence;GPS latitude;GPS longitude;message text;source;title
icdrachten OR nijsmellinghe OR r...;2020-05-14 16:16;https://twitter.com/RenzeTjoelker/status/1260937035180883968;;post;4;200;RenzeTjoelker;200;2.6;;;Tweede aflevering van #FriesePoortDraaitDoor met @RoelofLousma, Alice Muller en Henk Buwalda. En op de achtergrond heel veel collega's die via een moderator vragen kunnen stellen over Corona en het onderwijs. [@rocfriesepoort] https://t.co/Q63xN9P7Bm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 14:59;https://twitter.com/NinaMarone/status/1260917536176123904;;comment;11;222;NinaMarone;222;0.6;;;Het woord Cultuuromslag komt niet voor in het woordenboek van smalle [smallingerland]...het dikke ik...want wij hebben altijd gelijk.. Staat voorop..;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 14:52;https://twitter.com/NinaMarone/status/1260915943003377665;-;comment;3;222;NinaMarone;222;0.6;;;RT @frieschdagblad: Wethouder Robert Bakker van [@_Smallingerland] is per direct uit het college gestapt. Een groeiend wantrouwen vanuit de raad ten opzichte van het college is de directe aanleiding voor zijn ontslag, schrijft hij in een brief aan de gemeenteraad. https://t.co/jFsQTtqsL0;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 14:50;https://twitter.com/NinaMarone/status/1260915291678179328;-;comment;2;222;NinaMarone;222;0.6;;;RT @ASijtsma: [@_Smallingerland] nog meer viezigheid;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 13:44;https://twitter.com/YouriLeeuwarden/status/1260898806650081280;;comment;2;443;YouriLeeuwarden;443;1.8;;;RT @remco_meijerink: Vandaag ook in top bij [@rocfriesepoort]. Wij steunen als trots maatschappelijk partner @SCCambuurLwd. #CambuurKomtEraan. https://t.co/XS1YH1TdJo;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 13:02;https://twitter.com/ELT_METIS/status/1260888196000485376;;comment;;234;ELT_METIS;234;0.7;;;Have you checked out our homepage yet — which we carefully redesigned not long ago — and did you know we have an interactive app to show the various observing modes of METIS?;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 12:57;https://twitter.com/JDebreczeny/status/1260886953521827840;-;comment;11;304;JDebreczeny;304;1.1;;;RT @LeistraGerrit: En de ELP snapt nog steeds niet wat ze fout doen.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 12:38;https://twitter.com/MaartenNoordho1/status/1260882194576392192;-;comment;11;450;MaartenNoordho1;450;1.3;;;RT @LeistraGerrit: En de ELP snapt nog steeds niet wat ze fout doen.;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 11:32;https://twitter.com/YouriLeeuwarden/status/1260865543214632960;+;comment;7;442;YouriLeeuwarden;442;1.8;;;RT [@rocfriesepoort]: Spannende dag vandaag voor onze partner en toekomstig huisgenoot @SCCambuurLwd. Succes! Onze vestiging Leeuwarden heeft de vlag al uit! #cambuurkomteraan https://t.co/FeoI2W1fIM;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-14 11:25;https://twitter.com/LeistraGerrit/status/1260863777911844864;-;comment;11;27;LeistraGerrit;27;1.6;;;En de ELP snapt nog steeds niet wat ze fout doen.;twitter;
