"Nr";"Source";"Target";"#leeuwarden";"#drachten";"#mbo";"#rocfriesepoort";"#europeanvlbinetwork";"#streekbezoek";"#ditismbo";"#astronomy";"#fryslan";"#lofar";"#oudennieuw";"#skanews";"#adass2019";"#astron";"#dienst";"#lofar10";"#science";"#stf20";"#skillsheroes";"#nijsmellinghe";"innovatie";"cluster";"gemeente";"philips";"201907";"201908";"201909";"201910";"201911";"201912";"202001";"202002";"202003";"202004";"202005";"202006";"202007";"weight"
93;"bernard_elly";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
94;"berndjager";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
95;"bernetteke";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
96;"bertbroekhuis";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
97;"bertnederveen";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
98;"bertwijnsma";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
99;"bettykinggersee";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3
100;"bexysiggetje";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;3
101;"biancarutjes";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;4
102;"biekstra72";"_smallingerland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
